Category,Name,Content
Computer_Scientists,Atta ur Rehman Khan,"Atta ur Rehman Khan (Urdu: عطا الرحمن خان) is a computer scientist and academician who has contributed to multiple domains of the field. According to a Stanford University report, he is among World's Top 2% Scientists. He is the founder of National Cyber Crime Forensics Lab Pakistan, which operates in partnership with NR3C. He has published numerous research articles and books.  He is a senior member of IEEE and ACM.

"
Computer_Scientists,Wil van der Aalst,"Willibrordus Martinus Pancratius van der Aalst (born 29 January 1966) is a Dutch computer scientist and  full professor at RWTH Aachen University, leading the Process and Data Science (PADS) group. His research and teaching interests include information systems, workflow management, Petri nets, process mining, specification languages, and simulation. He is also known for his work on workflow patterns.

"
Computer_Scientists,Scott Aaronson,"Scott Joel Aaronson (born May 21, 1981) is an American theoretical computer scientist and   Schlumberger Centennial Chair of Computer Science at the University of Texas at Austin. His primary areas of research are computational complexity theory and quantum computing."
Computer_Scientists,Rediet Abebe,"Rediet Abebe (Amharic: ረድኤት አበበ) is an Ethiopian computer scientist working in algorithms and artificial intelligence. She is an assistant professor of computer science at the University of California, Berkeley. Previously, she was a Junior Fellow at the Harvard Society of Fellows. 
Abebe's research develops mathematical and computational frameworks for examining questions related to inequality and distributive justice. She co-founded the multi-institutional interdisciplinary research initiatives Mechanism Design for Social Good (MD4SG) and Black in AI."
Computer_Scientists,Hal Abelson,"Harold Abelson (born April 26, 1947) is an American mathematician and computer scientist. He is a professor of computer science and engineering in the Department of Electrical Engineering and Computer Science at the Massachusetts Institute of Technology (MIT), a founding director of both Creative Commons and the Free Software Foundation, creator of the MIT App Inventor platform, and co-author of the widely-used textbook Structure and Interpretation of Computer Programs, sometimes also referred to as ""the wizard book.""
He directed the first implementation of the language Logo for the Apple II, which made the language widely available on personal computers starting in 1981; and published a widely selling book on Logo in 1982. Together with Gerald Jay Sussman, Abelson developed MIT's introductory computer science subject, The Structure and Interpretation of Computer Programs (called by the course number, 6.001), a subject organized around the idea that a computer language is primarily a formal medium for expressing ideas about methodology, rather than just a way to get a computer to perform operations. Abelson and Sussman also cooperate in codirecting the MIT Project on Mathematics and Computation. The MIT OpenCourseWare (OCW) project was spearheaded by Abelson and other MIT faculty.
Abelson led an internal investigation of MIT's choices and role in the prosecution of Aaron Swartz by the Federal Bureau of Investigation (FBI), which concluded that MIT did nothing wrong legally, but recommended that MIT consider changing some of its internal policies."
Computer_Scientists,Serge Abiteboul,"Serge Joseph Abiteboul (born 25 August 1953 in Paris, France) is a French computer scientist working in the areas of data management, database theory, and finite model theory."
Computer_Scientists,Samson Abramsky,"Samson Abramsky  (born 12 March 1953) is Professor of Computer Science at University College London. He was previously the Christopher Strachey Professor of Computing at Wolfson College, Oxford, from 2000 to 2021.
Abramsky's early work included profound contributions to domain theory and the connections thereof with geometric logic. Since then, his work has covered the lazy lambda calculus, strictness analysis, concurrency theory, interaction categories and geometry of interaction, game semantics and quantum computing. Notably, he co-pioneered categorical quantum mechanics. More recently, he has been applying methods from categorical semantics to finite model theory, with applications to descriptive complexity.

"
Computer_Scientists,Leonard Adleman,"Leonard Adleman (born December 31, 1945) is an American computer scientist. He is one of the creators of the RSA encryption algorithm, for which he received the 2002 Turing Award. He is also known for the creation of the field of DNA computing.

"
Computer_Scientists,Manindra Agrawal,"Manindra Agrawal (born 20 May 1966) is an Indian computer scientist and professor at the Department of Computer Science and Engineering at the Indian Institute of Technology, Kanpur. He was the recipient of the first Infosys Prize for Mathematics, the Godel Prize in 2006; and the Shanti Swarup Bhatnagar Award in Mathematical Sciences in 2003. He has been honoured with Padma Shri, India's 4th highest civilian award, in 2013."
Computer_Scientists,Luis von Ahn,"Luis von Ahn (Spanish: [ˈlwis fon ˈan]; born 19 August 1978) is a Guatemalan entrepreneur, software developer, and consulting professor in the Computer Science Department at Carnegie Mellon University in Pittsburgh, Pennsylvania. He is known as one of the pioneers of crowdsourcing. He is the founder of the company reCAPTCHA, which was sold to Google in 2009, and the co-founder and CEO of Duolingo."
Computer_Scientists,Alfred Aho,"Alfred Vaino Aho (born August 9, 1941) is a Canadian computer scientist best known for his work on programming languages, compilers, and related algorithms, and his textbooks on the art and science of computer programming.
Aho was elected into the National Academy of Engineering in 1999 for his contributions to the fields of algorithms and programming tools.
He and his long-time collaborator Jeffrey Ullman are the recipients of the 2020 Turing Award, generally recognized as the highest distinction in computer science.

"
Computer_Scientists,Gene Amdahl,"Gene Myron Amdahl (November 16, 1922 – November 10, 2015) was an American computer architect and high-tech entrepreneur, chiefly known for his work on mainframe computers at IBM and later his own companies, especially Amdahl Corporation. He formulated Amdahl's law, which states a fundamental limitation of parallel computing.

"
Computer_Scientists,David P. Anderson,"David Pope Anderson (born 1955) is an American research scientist at the Space Sciences Laboratory, at the University of California, Berkeley, and an adjunct professor of computer science at the University of Houston. Anderson leads the SETI@home, BOINC, Bossa, and Bolt software projects.

"
Computer_Scientists,Lisa Anthony,"Lisa Anthony is an Associate Professor in the Department of Computer & Information Science & Engineering (CISE) at the University of Florida. She is also the director of the Intelligent Natural Interaction Technology Laboratory (INIT Lab). Her research interests revolve around developing natural user interfaces to allow for greater human-computer interaction, specifically for children as they develop their cognitive and physical abilities.

"
Computer_Scientists,Andrew Appel,"Andrew Wilson Appel (born 1960) is the Eugene Higgins Professor of computer science at Princeton University. He is especially well-known because of his compiler books, the Modern Compiler Implementation in ML (ISBN 0-521-58274-1) series, as well as Compiling With Continuations (ISBN 0-521-41695-7). He is also a major contributor to the Standard ML of New Jersey compiler, along with David MacQueen, John H. Reppy, Matthias Blume and others and one of the authors of Rog-O-Matic.

"
Computer_Scientists,Cecilia R. Aragon,"Cecilia Rodriguez Aragon is an American computer scientist, professor, author, and champion aerobatic pilot who is best known as the co-inventor (with Raimund Seidel) of the treap data structure, a type of binary search tree that orders nodes by adding a priority as well as a key to each node. She is also known for her work in data-intensive science and visual analytics of very large data sets, for which she received the prestigious Presidential Early Career Award for Scientists and Engineers (PECASE).

"
Computer_Scientists,Bruce Arden,"Bruce Wesley Arden ((1927-05-29)May 29, 1927 – (2021-12-08)December 8, 2021) was an American computer scientist.
Arden enlisted in the U.S. Navy during World War II (1944-1946) as a Radar Technician Third Class in California, Chicago, and Kodiak, Alaska.
He graduated from Purdue University with a BS(EE) in 1949 and started his computing career in 1950 with the wiring and programming of IBM's hybrid (mechanical and electronic) Card Programmed Computer/Calculator at the Allison Division of General Motors. Next he spent a short period as a programmer for computations being done at the University of Michigan's Willow Run Laboratory using the Standards Eastern Automatic Computer.
He then became a research associate at the University of Michigan's Statistical Research Laboratory and later an associate director of the university's Computing Center after its establishment in 1959. While at Michigan he co-authored two compilers, GAT for the IBM 650 and MAD for the IBM 704/709/7090, was involved in the design of the architecture and negotiations with IBM over the virtual memory features that would be included in what became the IBM System/360 Model 67 computer, and in the initial design of the Michigan Terminal System (MTS) time-sharing operating system.: 12 
U-M Vice President for Research Geoffrey Norman, writing in 1976, gave special credit to a triumvirate of Michigan computer specialists who contributed greatly to the future of computing at Michigan and in the nation as a whole. ""Bartels, Arden, and Westervelt,"" Norman has said, ""were a team that we took great care should not be broken up or induced to leave the University. Westervelt, the hardware expert, Arden, brilliant in software and logic, and Bartels orchestrating their progress-these three put together a superb timesharing computer system. The university and their faculty colleagues owe them much.""
Arden's increasing interest in academic computer science and engineering motivated him to complete a doctoral program in electrical engineering in 1965. He was subsequently a professor in, and ultimately chairman of, the Computer and Communication Sciences department at Michigan.: 16  In 1973 he accepted a professorship at Princeton University and chaired the department of Electrical Engineering and Computer Science. In 1986, then Princeton's Alexander Doty Professor of Engineering, he went to the University of Rochester as its dean of the College of Engineering and Applied Science. In the three years preceding the addition of ""Emeritus"" to his academic title (William May Professor of Engineering) in 1995, he also served as Rochester's vice provost for telecommunications and computing.
During his academic career, Arden wrote two books on numerical computation and edited another on computer science and engineering research. He wrote many papers in the areas of compilers, operating systems, computer logic and networks. In addition, he supervised many students, both undergraduate and graduate, in their studies of the various aspects of computing, and he served as a consultant to government agencies and several major computer companies at various times during those years.
He retired in 1995 and lived in Michigan and Maine.

"
Computer_Scientists,Angie Jones,"Angie Jones is a software engineer and automation architect who specializes in software testing and development. Jones has contributed to several open-source testing tools and libraries, including Selenium and Appium.

"
Computer_Scientists,Sanjeev Arora,"Sanjeev Arora (born January 1968) is an Indian American theoretical computer scientist who works in AI and Machine learning.

"
