Category,Name,Content
Sculptors,Wäinö Aaltonen,"Wäinö Valdemar Aaltonen (8 March 1894 – 30 May 1966) was a Finnish artist and sculptor. The Chambers Biographical Dictionary describes him as ""one of the leading Finnish sculptors"".
He was born to a tailor in the village of Karinainen, Finland. He became interested in art after being deaf as a child, and attended the School of Drawing of the Turku Art Association from age 16, or specifically between 1910 and 1915. He had spent many of the early years at this school studying painting under Victor Westerholm, but he was mainly self-taught as a sculptor. He learned the technics of treatment of marble with his relative Aarre Aaltonen, and by working as a trainee stonemason in Hirvensalo. Sculptor Felix Nylund was a substitute teacher in the art school in Turku for one season, and his work was inspiration for young Aaltonen.
A journey Aaltonen made to Italy in 1923 opened his eyes to cubist and futurist art. These elements can primarily be seen in his paintings.
As the Republic of Finland arose, and the First World War raged, he sculpted War Memorials. He soon became a nationalist icon, the exemplar Finn, establishing an exhibition in Stockholm in 1927. His sculpture is nationalist in nature, and he is noted for monumental figures and busts portraying citizens of Finland. An example is the 1925 sculpture of Paavo Nurmi, a cast of which is exhibited outside the Helsinki stadium. Another notable work is that of Jean Sibelius, a bust of 1928. These two works, like the main body of his work, are bronze casts—though he did work in stone and even glass. Though chiefly naturalistic, the cubist influence is also present here. He was one of the early 20th-century pioneers of direct carving.
When the new House of Parliament for Finland was built, architect Johan Sigfrid Sirén wished he could buy sculptures directly from Aaltonen. Instead, an open competition was announced, and Aaltonen's Work and the Future was selected as the winner. The series of gilded plaster sculptures that Aaltonen completed in 1932 were cast in bronze after his death.
Aaltonen was married four times. His first wife was singer Aino Alisa Pietikäinen from 1920, second wife actor Elsa Emilia Rantalainen from 1931, third wife gallerist in Galerie Artek Elvi Elisabet Hernell from 1942 and fourth wife medical doctor Marie Elisabeth Maasik from year 1961. His son Matti Aaltonen became an architect, who designed e.g. Wäinö Aaltonen museum in Turku.
A large collection of his works are on permanent exhibition at the Wäinö Aaltonen Museum of Art in Turku. His work was also part of the sculpture event in the art competition at the 1948 Summer Olympics."
Sculptors,Johannes Josephus Aarts,"Johannes Josephus Aarts (18 August 1871, in The Hague – 19 October 1934, in Amsterdam) was a Dutch painter, illustrator, lithographer, engraver, etcher, writer, academic teacher and director, lecturer, sculptor and book-cover designer."
Sculptors,Magdalena Abakanowicz,"Magdalena Abakanowicz (Polish pronunciation: [maɡdaˈlɛna abakaˈnɔvit͡ʂ]; 20 June 1930 – 20 April 2017) was a Polish sculptor and fiber artist. Known for her use of textiles as a sculptural medium and for outdoor installations, Abakanowicz has been considered among the most influential Polish artists of the postwar era. She worked as a professor of studio art at the University of Fine Arts in Poznań, Poland, from 1965 to 1990, and as a visiting professor at University of California, Los Angeles in 1984.
She was born to a noble landowning family in Falenty, near Warsaw, before the outbreak of World War II. Her formative years were marred by the Nazi occupation of Poland, during which her family became part of the Polish resistance. After the war, under the imposed communist rule, Abakanowicz attended the Academy of Fine Arts in Sopot and the Academy of Fine Arts in Warsaw between 1950 and 1954, navigating a conservative educational environment marked by the imposition of Soviet-dictated restrictive and propagandistic doctrine of Socialist Realism.
The Polish October and subsequent political and cultural thaw in 1956 marked a significant turning point in Abakanowicz's career. In the late 1950s and early 1960s, Abakanowicz's work began to take on more structure and geometric form, influenced in part by Constructivism. Her one-person exhibit at the Kordegarda Gallery in Warsaw in 1960 signaled her emergence in the Polish textile and fiber design movement. She received first international recognition following her participation in the first Biennale Internationale de le Tapisserie in Lausanne, Switzerland, in 1962.
Abakanowicz's most celebrated works emerged in the 1960s with her creation of three-dimensional fiber works called Abakans. During the 1970s and 1980s, she transitioned to creating humanoid sculptures. These works reflected the anonymity and confusion of the individual amidst the human mass, a theme influenced by her life under a Communist regime. Some of her prominent international public artworks include Agora in Chicago and Birds of Knowledge of Good and Evil in Milwaukee."
Sculptors,Elfriede Abbe,"Elfriede Martha Abbe (February 6, 1919 – December 31, 2012) was an American sculptor, wood engraver and botanical illustrator, often displaying nature and simple country living inspired by her Upstate New York home. A self-publisher, Abbe created numerous hand-printed books, which she printed on a printing press in her studio.

"
Sculptors,Louise Abbéma,"Louise Abbéma (30 October 1853 – 29 July 1927) was a French painter, sculptor, and designer of the Belle Époque."
Sculptors,Abed Abdi,"Abed Abdi (Arabic: عبد عابدي, Hebrew: עבד עאבדי; born February 1942 in Haifa) is a Palestinian painter, graphic designer, sculptor and art lecturer.
Abdi worked as a blacksmith and illustrated Arabic publications that appeared in Israel. After studying in Dresden, Abdi became the first Palestinian to build monumental art on native soil.  His allegorical monuments in Galilee, honoring human fortitude and resistance, include a narrative mural depicting Elijah's defiance and survival and a bronze Land Day memorial.
Abdi held his first exhibition in Tel Aviv in 1962. He then pursued academic studies at the Fine Arts Academy in Dresden (Germany). His professors were Lea Grundig, Gerhard Bondzin and Gerhard Kettner. His masterwork at the academy received the 2nd prize, which allowed Abdi to spend another year at the academy and specialize in murals and environmental sculpture.
In 1972 he returned to Haifa, and worked as graphic designer for a number of Arabic language publications, taught arts and designed murals. The city of Haifa awarded Abdi the ""Hermann Struck Best Artist of the Year"" Prize in 1973. That year, he also obtained the Young Artist's award at the Berlin International Youth Festival. The city of Haifa awarded him the ""Best Artist of the Year Hermann Struck"" award for the second time in 1999.
Abed Abdi has erected a number of memorial monuments and murals: in 1977—a sculpture to commemorate the Land Day of 1976; in 1984—the memorial to commemorate 75 years for the existence of the Galilean municipality of Shefa Amr. In addition, he has painted a number of murals in Haifa, Jaffa and Nazareth.
Abed Abdi has exhibited in Qatar, Israel, Belgium and Bulgaria. He has participated in over 45 group exhibitions, among them the joint Palestinian-Israeli exhibition ""It's possible"" which toured the US and Germany between 1988 and 1990. In 1995 he participated in the second exhibition for Palestinians and Israelis in Germany. His work appeared in the ""Solidarity with the Palestinian People"" exhibit in Tokyo, Berlin, Brussels, Belgrade and Athens. He also organized and participated in exhibitions with Israeli and Palestinian artists in Tel-Aviv, Haifa and West Jerusalem in the period between 1980 and 1987 defending the freedom of expression and creativity.
Abdi is an active member of the Haifa branch of the Israeli Association of Painters and Sculptures, as well as the Jewish-Arab Center of Beit Hagefen. This has enabled him to unite Palestinian and Israeli artists, and organize joint exhibitions, bringing the prospects of peace closer.  Abdi founded the Ibda' society for the promotion of visual arts in the Arab Israeli sector and Ara belle - Visual Arts Workshop in Haifa, for the promotion of the visual arts and intercultural dialogue through the arts. Abdi is president of Al Midan Theater in Haifa. He has been teaching fine arts in the Arab Pedagogical College in Haifa since 1985."
Sculptors,Pablita Abeyta,"Pablita Abeyta (Diné name: Ta-Nez-Bah; July 20, 1953 – January 31, 2017) was a Native American (Navajo Nation) activist and sculptor born in Gallup, New Mexico, United States. She is the eldest daughter of Sylvia Ann (Shipley) Abeyta and artist Narciso Abeyta. She was named for her grandmother and her name Navajo name translates to ""One Who Completes a Circle."" Her family was originally from the Cañoncito (""small canyon"" in Spanish) Band of the Navajo Reservation in New Mexico, located west of Albuquerque. In 2000 the reservation decided to change its name to To'Hajiilee (""drawing up water from a natural well"" in Navajo).
Abeyta earned a Master's in Public Affairs from the University of New Mexico and ""worked as a lobbyist for the Navajo Nation in Washington, D.C.""

"
Sculptors,Antonio Abondio,"Antonio Abondio (1538–1591) was an Italian sculptor, best known as a medallist and as the pioneer of the coloured wax relief portrait miniature.
Born in Riva del Garda, he was trained by Leone Leoni and worked in Italy between 1552 and 1565. Thereafter he mainly worked for the Habsburgs, with a few works made for French and Polish kings. He moved to Vienna to the court of Emperor Maximilian I and after his death in 1576 to Prague. He travelled to France, Netherlands and Germany.  He died at Vienna in 1591.
His son Alessandro followed in his father's footsteps, also specializing in mythological and portrait reliefs, and marrying the widow of another court artist, Hans von Aachen."
Sculptors,Per Abramsen,"Pieter (Per or Perry) Abramsen (Rotterdam, 27 March 1941 – Rotterdam, 13 March 2018) was a Dutch sculptor, and visiting professor at the Delft University of Technology, known for his work in which abstraction and realism are joined."
Sculptors,Julio Abril,"Julio Vicente Agapito Abril Mayorga (20 August 1911 – 24 April 1979) was a Colombian sculptor, painter, and draughtsman.

"
