Category,Name,Content
Computer_Scientists,Atta ur Rehman Khan,atta ur rehman khan urdu عطا الرحمن خان computer scientist academician contributed multiple domains field according stanford university report among worlds top 2 scientists founder national cyber crime forensics lab pakistan operates partnership nr3c published numerous research articles books senior member ieee acm education khan bright sparks scholar received phd degree computer science university malaya received masters degree bachelors degree honors computer science comsats university comsats scholarship also attended summer camp advance wireless networks technische universität ilmenau daad scholarship experience 2010 khan working associate professor college engineering information technology ajman university united arab emirates experience teaching research different positions served seven universities namely sohar university air university king saud university comsats university university malaya qurtuba university founding director national cyber crime forensics lab pakistan head air university cybersecurity center also developed pakistans first bs cybersecurity program approved hec editorial boards atta ur rehman khan editor following journals associate technical editor ieee communications magazine editor elsevier journal network computer applications associate editor ieee access associate editor springer journal cluster computing editor springerplus editor ad hoc sensor wireless networks editor oxford computer journal editor ksii transactions internet information systems associate editor springer humancentric computing information sciences gallery honors awards atta ur rehman khan received numerous honors awards longterm research achievement award 2023 worlds top 2 scientists stanford university usa 2022 worlds top 2 scientists stanford university usa 2020 best paper award spects 2018 research productivity award comsats university islamabad pakistan 2016 got award university malaya malaysia 2014 research productivity award comsats university islamabad pakistan 2012 best research poster award vision ict pakistan 2010 best project award vision ict pakistan 2009 best project award frontiers information technology fit conference pakistan 2008 books following list books authoredcoauthorededited atta ur rehman khan internet things challenges advances applications chapman hallcrc isbn 9781498778510 2018 research publications following list selected research papers authoredcoauthored atta ur rehman khan vehicular ad hoc network vanet localization techniques survey archives computational methods engineering doi101007s11831020094871 dgru based human activity recognition using channel state information measurement vol 167 2021 realtime fuel truck detection algorithm based deep convolutional neural network ieee access vol 8 pp 118808–118817 2020 energy performance efficient resource consolidation scheme heterogeneous cloud datacenters journal network computer applications doi101016jjnca2019102497 lightweight compromise‐resilient authentication scheme iots transactions emerging telecommunications technologies doi101002ett3813 optimal content caching contentcentric networks wireless communications mobile computing doi10115520196373960 systems overview commercial data centers initial energy cost analysis international journal information technology web engineering vol 14 1 pp 41–65 2019 cpu–rambased energyefficient resource allocation clouds journal superomputing vol 75 11 pp 7606–7624 2019 fogbased security framework intelligent traffic light control system multimedia tools applications vol 78 17 pp 24595–24615 2019 anonymous formally verified dual signature based online evoting protocol cluster computing vol 22 1 pp 1703–1716 2019 identification yeasts interactome using neural networks ieee access 2019 securecamflow device oriented security model assist information flow control systems cloud environments iots concurrency computation practice experience vol 31 8 pp 1–22 2019 socialrec contextaware recommendation framework explicit sentiment analysis ieee access 2019 load balanced task scheduling heuristic largescale computing systems international journal computer systems science engineering vol 34 2 pp 1–12 2019 masquerading attacks detection mobile ad hoc networks ieee access vol 6 1 pp 55013–55025 2018 performance assessment dynamic analysis based energy estimation tools international symposium performance evaluation computer telecommunication systems pp 1–12 july 2018 france optimal ride sharing recommendation framework carpooling services ieee access vol 6 1 pp 62296–62313 2018 “an investigation video communication bandwidth limited public safety network” malaysian journal computer science vol 31 2 pp 85–107 2018 theres thing free lunch envy among young facebookers ksii transactions internet information systems vol 12 10 2018 salat activity recognition using smartphone triaxial accelerometer 5th international multitopic ict conference imtic april 2018 computation offloading cost estimation mobile cloud application models wireless personal communications springer vol 97 3 pp 4897–4920 2017 review performance analysis position based routing vanet wireless personal communications vol 94 3 pp 559–578 2017 execution models mobile data analytics ieee professional vol 19 3 pp 24–30 2017 formal verification performance evaluation task scheduling heuristics makespan optimization workflow distribution largescale computing systems international journal computer systems science engineering vol 32 3 pp 227–241 2017 rededge novel architecture big data processing mobile edge computing environments journal sensor actuator networks vol 6 3 2017 comparative study workload distribution model reencryption schemes mobile cloud computing environment international journal communication systems vol 30 16 2017 dietright smart food recommendation system ksii transactions internet information systems vol 11 6 pp 2910–2925 2017 survey mobile virtualization taxonomy state art acm computing surveys vol 49 1 2016 big data analytics mobile cloud computing environments innovative research applications nextgeneration high performance computing igi global pp 349–367 2016 code offloading using support vector machine proceedings sixth ieee international conference innovative computing technology intech august 2016 pp 98–103 contextaware mobile cloud computing challenges ieee cloud computing vol 2 3 pp 42–49 mayjune 2015 mobibyte application development model mobile cloud computing journal grid computing vol 13 4 pp 605–628 2015 impact mobility energy performance clusteringbased powercontrolled routing protocols proceedings ieee frontiers information technology islamabad pakistan december 2015 merging dhtbased logical networks manets transactions emerging telecommunications technologies vol 26 12 pp 1347–1367 2015 resource management cloud computing taxonomy prospects challenges computers electrical engineering vol 47 pp 186–203 2015 cloudmanagerbased reencryption scheme mobile users cloud environment hybrid approach journal grid computing vol 13 4 2015 3drp dhtbased routing protocol manets computer journal vol 58 2 258–279 2015 survey mobile cloud computing application models ieee communications surveys tutorials vol 16 1 pp 393–413 2014 pirax framework application piracy control mobile cloud environment journal super computing vol 68 2 pp 753–776 2014 road oriented traffic information system vehicular ad hoc networks wireless personal communications vol 77 4 pp 2497–2515 2014 bss block based sharing scheme secure data storage services mobilecloud environment journal super computing vol 70 2 pp 946–976 2014 routing protocols mobile sensor networks comparative study international journal computer systems science engineering vol 29 1 pp 91–100 2014 incremental proxy reencryption scheme mobile cloud computing environment journal super computing vol 68 2 pp 624–651 2014 study incremental cryptography security schemes mobile cloud computing environments proceedings ieee symposium wireless technology applications kuching malaysia september 2013 pp 62–67 enhanced dynamic credential generation scheme protection user identity mobile cloud computing journal super computing vol 66 3 pp 1687–1706 2013 clusteringbased powercontrolled routing mobile wireless sensor networks international journal communication systems vol 25 4 pp 529–542 2012 impact mobility models clustering based routing protocols mobile wsns proceedings ieee frontiers information technology islamabad pakistan december 2012 pp 366–370 performance comparison open source network simulators wireless networks proceedings ieee international conference control system computing engineering penang malaysia november 2012 pp 34–38 routing proposals multipath interdomain routing proceedings ieee international multi topic conference lahore pakistan december 2012 pp 331–337 source routing proposals multipath interdomain routing proceedings international conference future trends computing communication technologies malacca malaysia december 2012 pp 124–132 references
Computer_Scientists,Wil van der Aalst,willibrordus martinus pancratius van der aalst born 29 january 1966 dutch computer scientist full professor rwth aachen university leading process data science pads group research teaching interests include information systems workflow management petri nets process mining specification languages simulation also known work workflow patterns biography education born eersel netherlands van der aalst received msc computing science 1988 technische universiteit eindhoven tue phd mathematics 1992 thesis timed colored petri nets application logistics supervision jaap wessels kees van hee 1992 started working eindhoven university technology assistant professor department mathematics computing science headed specification modeling information systems smis research group 2000 2003 parttime full professor computing science department 2000 2006 head information systems department technology management department tue since 2006 full professor department mathematics computer science eindhoven university technology also parttime appointment bpm group queensland university technology qut visiting professor karlsruhe institute technology aifb university georgia lsdis johann wolfgang goethe university frankfurt main wiii university colorado ctrg queensland university technology citi aarhus university daimi fondazione bruno kessler fbk associate editor several journals including ieee transactions services computing ieee transactions industrial informatics international journal business process integration management international journal enterprise modelling information systems architectures computers industry transactions petri nets models concurrency series editor lecture notes business information processing lnbip springer member editorial board distributed parallel databases business information systems engineering member several steering committees including international conference series business process management chair international conference series application theory petri nets international workshop series web services formal methods also member royal holland society sciences humanities koninklijke hollandsche maatschappij der wetenschappen academy europe academia europaea van der aalst elected member royal netherlands academy arts sciences 2014 work van der aalsts research interest fields information systems business process management simulation petri nets process models workflow management systems verification techniques process mining enterprise resource planning systems computer supported cooperative work web services business process redesign resource allocation interorganizational business processes strong supporter opensource software initiated led development prom framework process mining tool yawl workflow management system several software tools including declare woflan xrl etc also initiated workflow patterns initiative work influenced industry standards business process execution language bpel business process modeling notation bpmn etc van der aalsts ideas also influenced various widely used commercial software tools flower protos futura reflect staffware websphere aris scientific contributions van der aalst fields business process discovery eventdriven process chains workflow management coalition xpdl van der aalst isi highly cited researcher according google scholar among highest ranked computer scientists world see hindex computer science publications van der aalst published total 400 books journal papers book chapters conference papers reports topics books selection van der aalst wil kees max van hee workflow management models methods systems mit press 2002 2004 dumas marlon wil van der aalst arthur h ter hofstede processaware information systems bridging people software process technology john wiley sons 2005 van der aalst wil process mining discovery conformance enhancement business processes springer science business media 2011 articles selection van der aalst wil mp application petri nets workflow management journal circuits systems computers 801 1998 21–66 wil van der aalst arthur hm hofstede bartek kiepuszewski alistair p barros 2003 workflow patterns distributed parallel databases 14 1 pp 5–51 doi101023a1022883727209 van der aalst wil mp arthur hm ter hofstede mathias weske business process management survey business process management springer berlin heidelberg 2003 1–12 van der aalst wil mp arthur hm ter hofstede yawl yet another workflow language information systems 304 2005 245–275 references external links homepage wil van der aalst eindhoven university technology
Computer_Scientists,Scott Aaronson,scott joel aaronson born may 21 1981 american theoretical computer scientist schlumberger centennial chair computer science university texas austin primary areas research computational complexity theory quantum computing personal life aaronson married computer scientist dana moshkovitz aaronson identifies jewish early life education aaronson grew united states though spent year asia father—a science writer turned publicrelations executive—was posted hong kong enrolled school permitted skip ahead several years math upon returning us found education restrictive getting bad grades runins teachers enrolled clarkson school gifted education program run clarkson university enabled aaronson apply colleges freshman year high school accepted cornell university obtained bsc computer science 2000 resided telluride house attended university california berkeley phd got 2004 supervision umesh vazirani aaronson shown ability mathematics early age teaching calculus age 11 provoked symbols babysitters textbook discovered computer programming age 11 felt lagged behind peers already coding years part due aaronson getting advanced mathematics getting computer programming felt drawn theoretical computing particularly computational complexity theory cornell became interested quantum computing devoted computational complexity quantum computing career postdoctorates institute advanced study university waterloo took faculty position mit 2007 primary area research quantum computing computational complexity theory generally summer 2016 moved mit university texas austin david j bruton jr centennial professor computer science founding director ut austins new quantum information center summer 2022 announced would working year openai theoretical foundations ai safety awards aaronson one two winners 2012 alan waterman award best student paper awards computational complexity conference papers limitations quantum advice oneway communication 2004 quantum certificate complexity 2003 danny lewin best student paper award symposium theory computing paper lower bounds local search quantum arguments 2004 2009 presidential early career award scientists engineers 2009 sloan research fellowship 2017 simons investigator elected acm fellow 2019 contributions quantum computing computational complexity awarded 2020 acm prize computing groundbreaking contributions quantum computing popular work founder complexity zoo wiki catalogs classes computational complexity author muchread blog shtetloptimized interview scientific american answers blog called shtetloptimized preoccupation past shtetls jewish villages preholocaust eastern europe theyre ancestors came from—some actually place vitebsk marc chagall painted fiddler roof watched fiddler many times kid movie play every time jolt recognition like thats world designed inhabit aspects personality mark weird today obsessive reading literalmindedness even rocking back forth—i probably back wouldve made better talmud scholar something also wrote essay name bigger number latter work widely distributed academic computer science uses concept busy beaver numbers described tibor radó illustrate limits computability pedagogic environment also taught graduatelevel survey course quantum computing since democritus notes available online published book cambridge university press weaves together disparate topics cohesive whole including quantum mechanics complexity free time travel anthropic principle many interdisciplinary applications computational complexity later fleshed article philosophers care computational complexity since aaronson published book entitled quantum computing since democritus based course article aaronsons limits quantum computers published scientific american guest speaker 2007 foundational questions science institute conference aaronson frequently cited nonacademic press science news age zdnet slashdot new scientist new york times forbes magazine alleged love communications plagiarism aaronson subject media attention october 2007 accused love communications sydneybased advertising agency plagiarizing lecture wrote quantum mechanics advertisement alleged commercial made ricoh australia appropriated content almost verbatim lecture aaronson received email agency claiming sought legal advice saying believe violation copyright dissatisfied aaronson pursued matter agency settled dispute without admitting wrongdoing making charitable contribution two science organizations choice concerning matter aaronson stated someone suggested blog cameo models free printer think id take printer references external links scott aaronson mathematics genealogy project aaronsons website aaronsons blog
Computer_Scientists,Rediet Abebe,rediet abebe amharic ረድኤት አበበ ethiopian computer scientist working algorithms artificial intelligence assistant professor computer science university california berkeley previously junior fellow harvard society fellows abebes research develops mathematical computational frameworks examining questions related inequality distributive justice cofounded multiinstitutional interdisciplinary research initiatives mechanism design social good md4sg black ai early life education abebe born raised addis ababa ethiopia educated ethiopian national curriculum nazareth school winning competitive meritbased scholarship attend international community school addis ababa high school abebe attended harvard university earned bachelor arts degree mathematics later master science degree applied mathematics undergraduate coauthored research papers mathematics physics public health harvard abebe contributed harvard crimson staff writer focused cambridge public school system 20092011 college attended university cambridge governor william shirley scholar pembroke college completed part iii mathematics tripos earned master advanced studies pure mathematics supervision imre leader abebe completed doctoral degree computer science cornell university advised jon kleinberg dissertation made notable contributions across multiple fields computer science receiving 2020 acm sigkdd dissertation award honorable mention acm sigecom dissertation award first black woman complete phd computer science universitys history research career abebes research develops techniques ai algorithms focus inequality distributive justice work includes algorithmic frameworks examining issues underserved populations abebes interest merging inequality studies computer science stemmed educational background ethiopia well study cambridge public schools attendance school board meetings experiences emphasizes potential social harms inequitable algorithmic design work throughout 2019 abebe served national institutes health working group ai along ai experts including kate crawford dina katabi daphne koller eric lander working group tasked developing comprehensive report recommendations unanimously approved advisory committee director nih general director francis collins 2019 abebe inducted harvard society fellows second junior fellow cs phd first female computer scientist first black computer scientist societys history abebe joined department electrical engineering computer sciences university california berkeley assistant professor focused research areas artificial intelligence information data network communication sciences theory first black female professor history department second history college engineering abebe member berkeley artificial intelligence research lab bair berkeley institute data science bids center information technology research interest society banatao institute citris center theoretical foundations learning inference information intelligence mathematics microeconomics berkeley climb abebe also leads berkeley equity access algorithms mechanisms optimization research group beaamo mechanism design social good abebe cofounded mechanism design social good md4sg multidisciplinary research collective uses algorithms mechanism design tackle inequality kira goldner 2016 alongside multiinstitutional reading group 12 members abebe since coorganizing initiative irene lo anaandrea stoica md4sg hosts annual workshop series highlighting work connecting community researchers committed using algorithms improve societal welfare 2021 colaunched acm conference equity access algorithms mechanisms optimization eaamo served inaugural program cochair abebe honored pioneer 2019 mit technology reviews innovators 35 part work cofounding md4sg dissertation received 2020 acm sigkdd dissertation award honorable mention acm sigecom dissertation award offering foundations emerging research area black ai abebe cofounded black ai network 1500 researchers working ai timnit gebru 2016 organization arranges annual workshops conference neural information processing systems neurips offers networking collaborative opportunities black ai abebe spearheaded academic program honored 2019 bloomberg 50 list one watch awards honors 2018 bloomberg 50 one watch 2018 harvardcambridge fellowship harvard 2019 harvard society fellows junior fellow 2019 mit technology review 35 35 2020 acm sigkdd dissertation award 2020 acm sigecom dissertation award honorable mention 2020 innovation equity rising star award 2020 100 influential young africans african youth awards 2022 class andrew carnegie fellows references external links rediet abebe publications indexed google scholar uses algorithms ai fight socioeconomic inequality mit technology review pioneers breaking old ways create better ai antibiotics even architecture
Computer_Scientists,Hal Abelson,harold abelson born april 26 1947 american mathematician computer scientist professor computer science engineering department electrical engineering computer science massachusetts institute technology mit founding director creative commons free software foundation creator mit app inventor platform coauthor widelyused textbook structure interpretation computer programs sometimes also referred wizard book directed first implementation language logo apple ii made language widely available personal computers starting 1981 published widely selling book logo 1982 together gerald jay sussman abelson developed mits introductory computer science subject structure interpretation computer programs called course number 6001 subject organized around idea computer language primarily formal medium expressing ideas methodology rather way get computer perform operations abelson sussman also cooperate codirecting mit project mathematics computation mit opencourseware ocw project spearheaded abelson mit faculty abelson led internal investigation mits choices role prosecution aaron swartz federal bureau investigation fbi concluded mit nothing wrong legally recommended mit consider changing internal policies education abelson graduated bachelor arts degree mathematics princeton university 1969 completing senior thesis actions fixedpoint set homology sphere supervised william browder received phd mathematics massachusetts institute technology 1973 completing research topologically distinct conjugate varieties finite fundamental group supervised dennis sullivan career research abelson also founding director creative commons public knowledge director center democracy technology computer science education abelson longstanding interest using computation conceptual framework teaching directed first implementation logo apple ii made language widely available personal computers starting 1981 published widely selling book logo 1982 book turtle geometry written andrea disessa 1981 presented computational approach geometry cited first step revolutionary change entire teachinglearning process march 2015 copy abelsons 1969 implementation turtle graphics sold algorithm auction world’s first auction computer algorithms together gerald jay sussman abelson developed mits introductory computer science subject structure interpretation computer programs subject organized around notion computer language primarily formal medium expressing ideas methodology rather way get computer perform operations work textbook name videotapes lectures availability personal computers scheme dialect lisp used teaching course worldwide impact university computer science education visiting faculty member google part app inventor android team educational program aiming make easy people programming background write mobile phone applications explore whether could change nature introductory computing coauthor book app inventor david wolber ellen spertus liz looney published oreilly media 2011 google released app inventor open source software late 2009 provided seed funding mit media lab 2011 abelson became codirector mit center mobile learning continue development app inventor computing tools abelson sussman also cooperate codirecting mit project mathematics computation project mit computer science artificial intelligence laboratory csail formerly joint project mit artificial intelligence laboratory ai lab mit laboratory computer science lcs csails components goal project create better computational tools scientists engineers even powerful numerical computers exploring complex physical systems still requires substantial human effort human judgement prepare simulations interpret numerical results together students abelson sussman combining methods numerical computation symbolic algebra heuristic programming develop programs perform massive numerical computations also interpret computations discuss results qualitative terms programs could form basis intelligent scientific instruments monitor physical systems based upon highlevel behavioral descriptions generally could lead new generation computational tools autonomously explore complex physical systems play important part future practice science engineering time programs incorporate computational formulations scientific knowledge form foundations better ways teach science engineering free software movement abelson sussman also part free software movement fsm including serving board directors free software foundation fsf abelson known involved publishing andrew huangs hacking xbox keith winsteins sevenline perl decss script named qrpff library access music project lamp mits campuswide music distribution system mit opencourseware ocw project spearheaded hal abelson mit faculty aaron swartz investigation january 2013 open access activist aaron swartz died suicide arrested near mit facing 35 years imprisonment alleged crime downloading journal storage jstor articles mits open access campus network response mit appointed professor hal abelson lead internal investigation schools choices role prosecution aaron swartz fbi report delivered july 26 2013 concluded mit nothing wrong legally recommended mit consider changing internal policies awards honors designated one mits six inaugural macvicar faculty fellows 1992 recognition significant sustained contributions teaching undergraduate education 1992 bose award mit school engineering teaching award 1995 taylor l booth education award given ieee computer society cited continued contributions pedagogy teaching introductory computer science 2011 acm karl v karlstrom outstanding educator award contribution computing education innovative advances curricula designed students pursuing different kinds computing expertise leadership movement open educational resources 2012 association computing machinery acm sigcse award outstanding contribution computer science education publications structure interpretation computer programs turtle geometry computer medium exploring mathematics blown bits life liberty happiness digital explosion app inventor 2 create android apps references
Computer_Scientists,Serge Abiteboul,serge joseph abiteboul born 25 august 1953 paris france french computer scientist working areas data management database theory finite model theory education son two hardware store owners abiteboul attended highschool romorantin higher school preparatory classes tours admitted télécom paris engineering school studied technion haifa year abiteboul received phd university southern california supervision seymour ginsburg 1982 career research abiteboul senior researcher institut national de recherche en informatique et en automatique inria french national research institute focussing computer science related areas professor collège de france known many contributions areas finite model theory database theory database systems finite model theory abiteboul–vianu theorem states polynomial time equal pspace fixed point logic partial fixed point logic database theory contributed wide variety results recent languages distributed processing xml data data management best known early work semistructured web databases 2008 according citeseer highly cited researcher data management area works european institution abiteboul also known two books one database theory one web data management frequently writes french newspapers including le monde libération la tribune member arcep independent agency charge regulating telecommunications france abiteboul advocate net neutrality also critical virtual assistants impact privacy 2019 among members group tasked french government addressing online bullying harassment awards honours abiteboul awarded association computing machinery acm sigmod test time award 2004 prix eads 2007 acm pods alberto mendelzon testoftime award 2008 abiteboul elected member french academy sciences 2008 european academy sciences 2011 acm fellow 2011 references
Computer_Scientists,Samson Abramsky,samson abramsky born 12 march 1953 professor computer science university college london previously christopher strachey professor computing wolfson college oxford 2000 2021 abramskys early work included profound contributions domain theory connections thereof geometric logic since work covered lazy lambda calculus strictness analysis concurrency theory interaction categories geometry interaction game semantics quantum computing notably copioneered categorical quantum mechanics recently applying methods categorical semantics finite model theory applications descriptive complexity education abramsky educated hasmonean grammar school boys hendon kings college cambridge ba 1975 philosophy 1979 diploma computer science queen mary university london phd computer science 1988 supervised richard bornat career research since 2021 abramsky professor computer science university college london fellow royal society since 2004 research includes development game semantics domain theory logical form categorical quantum mechanics earlier positions include programmer gec computers limited 1976–1978 lecturer department computer science statistics qmul 1980–1983 lecturer 1983–1988 reader 1988–1990 professor 1990–1995 department computing imperial college london professor theoretical computer science university edinburgh 1996–2000 christopher strachey professor computing university oxford 2000–2021 abramsky played leading role development game semantics applications semantics programming languages notable contributions include work domain theory logical form lazy lambda calculus strictness analysis concurrency theory interaction categories geometry interaction recently working highlevel methods quantum computation information selected publications samson abramsky coedited 6 volumes handbook logic computer science dov gabbay tom maibaum 1992 volume 1 background mathematical structures 1992 volume 2 background computational structures 1995 volume 3 semantic structures 1995 volume 4 semantic modelling 2001 volume 5 logic algebraic methods volume 6 logical methods computer science abramsky published two hundred publications hindex 57 october 2019 1986 strictness analysis higherorder functions gl burn c hankin science computer programming 1990 lazy lambda calculus research topics functional programming 1993 computational interpretations linear logic theoretical computer science 111 1994 domain theory jung handbook logic computer science 3 1996 interaction categories foundations typed concurrent programming gay r nagarajan nato asi series f computer systems sciences 152 1997 specifying interaction categories pavlović category theory computer science 2002 geometry interaction linear combinatory algebras e haghverdi p scott mathematical structures computer science 12 5 2003 sequentiality vs concurrency games logic mathematical structures computer science 13 4 later works abramsky include 2010 introduction categories categorical logic n tzevelekos new structures physics springer 2012 logical bell inequalities lucien hardy physical review vol 85 artn 062114 2013 robust constraint satisfaction local hidden variables quantum mechanics g gottlob p kolaitis ijcai awards honours abramsky fellow royal society 2004 fellow royal society edinburgh 2000 member academia europaea 1993 member editorial boards north holland studies logic foundations mathematics cambridge tracts theoretical computer science general chair lics 2000–2003 member lics organizing committee elected fellow acm 2014 contributions domains logical form game semantics categorical quantum mechanics contextual semantics awarded bcs lovelace medal 2013 paper domain theory logical form lics testoftime award 20year retrospective 1987 award presented lics 2007 awarded epsrc senior research fellowship foundational structures methods quantum informatics 2007 fellow royal society 2004 fellow royal society edinburgh 2000 abramskys nomination royal society reads samson abramsky distinguished seminal contributions mathematical foundations computation outstanding achievement development game semantics theory computational processes exposes mathematical structure information flow led powerful applications study programming languages offering decisive new insights nature sequentiality state control many computational features leading turn new developments computerassisted program analysis verification important strand also stands contribution logic generalisation girards geometry interaction leading new genre full completeness theorems characterise space proofs logic previously abramsky made important contributions abstract interpretation domain theory lambda calculus concurrency continues shed light broad range topics sharp creative insights breaking new ground bringing order unity existing work references
Computer_Scientists,Leonard Adleman,leonard adleman born december 31 1945 american computer scientist one creators rsa encryption algorithm received 2002 turing award also known creation field dna computing biography leonard adleman born jewish family california family originally immigrated united states modernday belarus minsk area grew san francisco attended university california berkeley received ba degree mathematics 1968 phd degree eecs 1976 also mathematical consultant movie sneakers 1996 became member national academy engineering contributions theory computation cryptography also member national academy sciences adleman also amateur boxer sparred james toney discovery 1994 paper molecular computation solutions combinatorial problems described experimental use dna computational system solved sevennode instance hamiltonian graph problem npcomplete problem similar travelling salesman problem solution sevennode instance trivial paper first known instance successful use dna compute algorithm dna computing shown potential means solve several largescale combinatorial search problems adleman widely referred father dna computing 2002 research group managed solve nontrivial problem using dna computation specifically solved 20variable sat problem 1 million potential solutions manner similar one adleman used seminal 1994 paper first mixture dna strands logically representative problems solution space synthesized mixture operated upon algorithmically using biochemical techniques winnow incorrect strands leaving behind strands satisfied problem analysis nucleotide sequence remaining strands revealed correct solutions original problem one original discoverers adleman–pomerance–rumely primality test fred cohen 1984 paper experiments computer viruses credited adleman coining term computer virus 2017 adleman working mathematical theory strata computer science professor university southern california awards contribution invention rsa cryptosystem adleman along ron rivest adi shamir recipient 1996 paris kanellakis theory practice award 2002 turing award often called nobel prize computer science adleman elected fellow american academy arts sciences 2006 2021 acm fellow see also list famous programmers important publications cryptography references external links adlemans homepage turing award citation mathematical consultant movie sneakers leonard adleman mathematics genealogy project
Computer_Scientists,Manindra Agrawal,manindra agrawal born 20 may 1966 indian computer scientist professor department computer science engineering indian institute technology kanpur recipient first infosys prize mathematics godel prize 2006 shanti swarup bhatnagar award mathematical sciences 2003 honoured padma shri indias 4th highest civilian award 2013 career created aks primality test neeraj kayal nitin saxena coauthors 2006 fulkerson prize 2006 gödel prize also awarded 2002 clay research award work test first unconditional deterministic algorithm test ndigit number primality time proven polynomial n september 2008 agrawal chosen first infosys mathematics prize outstanding contributions broad field mathematics also served mathematical sciences jury infosys prize 2014 2015 visiting scholar institute advanced study 200304 agarwal served deputy director iit kanpur 2017 2021 19 april 2024 appointed director iit kanpur awards honors clay research award 2002 bhatnagar prize mathematical sciences 2003 ictp prize 2003 fulkerson prize 2006 gödel prize 2006 infosys prize 2008 gd birla award scientific research 2009 twas prize mathematics 2010 padma shri 2013 goyal prize 2017 references external links homepage blog report manindra agrawal mathematics genealogy project
Computer_Scientists,Luis von Ahn,luis von ahn spanish ˈlwis fon ˈan born 19 august 1978 guatemalan entrepreneur software developer consulting professor computer science department carnegie mellon university pittsburgh pennsylvania known one pioneers crowdsourcing founder company recaptcha sold google 2009 cofounder ceo duolingo early life education luis von ahn born grew guatemala city guatemalan german descent mother one first women guatemala complete studies medical school von ahn age 42 despite single attended american school guatemala private englishlanguage school guatemala city experience cites great privilege von ahn eight years old mother bought commodore 64 computer beginning fascination technology computer science applied colleges united states von ahn spend 1200 fly neighboring el salvador take toefl experience left negative impression extractive testing industry ripe disruption age 18 von ahn began studying duke university received bachelor science bs mathematics summa cum laude 2000 later earned phd computer science carnegie mellon university 2005 2006 von ahn became faculty member carnegie mellon universitys school computer science career research von ahns early research field cryptography nicholas j hopper john langford first provide rigorous definitions steganography prove privatekey steganography possible 2000 early pioneering work manuel blum captchas computergenerated tests humans routinely able pass computers yet mastered devices used web sites prevent automated programs bots perpetrating largescale abuse automatically registering large numbers accounts purchasing huge numbers tickets resale scalpers captchas brought von ahn first widespread fame among general public due coverage new york times usa today discovery channel nova sciencenow mainstream outlets von ahns phd thesis completed 2005 first publication use term human computation coined referring methods combine human brainpower computers solve problems neither could solve alone von ahns phd thesis also first work games purpose gwaps games played humans produce useful computation side effect famous example esp game online game two randomly paired people simultaneously shown picture way communicate lists number words phrases describe picture within time limit rewarded points match match turns accurate description picture successfully used database accurate image search technology esp game licensed google form google image labeler used improve accuracy google image search von ahns games brought coverage mainstream media thesis best doctoral dissertation award carnegie mellon universitys school computer science july 2006 von ahn gave tech talk google human computation ie crowdsourcing watched one million viewers 2007 von ahn invented recaptcha new form captcha also helps digitize books recaptcha images words displayed user come directly old books digitized words optical character recognition could identify sent people throughout web identified recaptcha currently use 100000 web sites transcribing 40 million words per day 2009 von ahn graduate student severin hacker began develop duolingo language education platform founded company name von ahn chief executive officer hacker chief technology officer november 2011 private beta test duolingo launched app released public june 2012 may 2020 duolingo valued 15 billion talk npr von ahn shared duolingo saw spike users covid19 pandemic von ahn chapter giving advice tim ferriss book tools titans may 2021 von ahn joined executive committee partnership central america entity bringing together variety businesses academic organizations nonprofit organizations advance economic opportunity address urgent climate education health challenges promote longterm investments workforce capability building support vision hope central america partnership central america presented context united states vice president kamala harriss call action address irregular migration central america united states deepening investment northern triangle term coined refer guatemala el salvador honduras awards honors research captchas human computation earned international recognition numerous honors awarded macarthur fellowship 2006 david lucile packard foundation fellowship 2009 sloan fellowship 2009 microsoft new faculty fellowship 2007 presidential early career award scientists engineers 2012 also named one 50 best brains science discover made many recognition lists include popular sciences brilliant 10 siliconcoms 50 influential people technology mit technology reviews tr35 young innovators 35 fast companys 100 innovative people business siglo veintiuno one biggest newspapers guatemala chose person year 2009 2011 foreign policy magazine spanish named influential intellectual latin america spain 2011 awarded nico habermann development chair computer science awarded every three years junior faculty member unusual promise school computer science 2017 awarded distinguished leadership award innovation social impact interamerican dialogue 2018 von ahn awarded lemelsonmit prize dedication improving world technology teaching von ahn used number unusual techniques teaching multiple teaching awards carnegie mellon university fall 2008 began teaching new course carnegie mellon entitled science web combination graph theory social science course covers topics network game theory auction theory 2023 ted talk emphasised importance making learning fun playing video games using social media apps using similar features streak leaderboard etc philanthropy 2021 von ahn established ilva foundation focus foundation support guatemalans especially women girls financial support local community leaders nonprofit organizations according foundation website 2022 luis von ahn foundation give us3 million various organizations focus womens girls equality conservation environment democracy youth participation references external links google tech talk human computation luis von ahn profile luis von ahn nova sciencenow aired 20090630 ilva foundation website
