Category,Name,Content
Sculptors,Wäinö Aaltonen,wäinö valdemar aaltonen 8 march 1894 – 30 may 1966 finnish artist sculptor chambers biographical dictionary describes one leading finnish sculptors born tailor village karinainen finland became interested art deaf child attended school drawing turku art association age 16 specifically 1910 1915 spent many early years school studying painting victor westerholm mainly selftaught sculptor learned technics treatment marble relative aarre aaltonen working trainee stonemason hirvensalo sculptor felix nylund substitute teacher art school turku one season work inspiration young aaltonen journey aaltonen made italy 1923 opened eyes cubist futurist art elements primarily seen paintings republic finland arose first world war raged sculpted war memorials soon became nationalist icon exemplar finn establishing exhibition stockholm 1927 sculpture nationalist nature noted monumental figures busts portraying citizens finland example 1925 sculpture paavo nurmi cast exhibited outside helsinki stadium another notable work jean sibelius bust 1928 two works like main body work bronze casts—though work stone even glass though chiefly naturalistic cubist influence also present one early 20thcentury pioneers direct carving new house parliament finland built architect johan sigfrid sirén wished could buy sculptures directly aaltonen instead open competition announced aaltonens work future selected winner series gilded plaster sculptures aaltonen completed 1932 cast bronze death aaltonen married four times first wife singer aino alisa pietikäinen 1920 second wife actor elsa emilia rantalainen 1931 third wife gallerist galerie artek elvi elisabet hernell 1942 fourth wife medical doctor marie elisabeth maasik year 1961 son matti aaltonen became architect designed eg wäinö aaltonen museum turku large collection works permanent exhibition wäinö aaltonen museum art turku work also part sculpture event art competition 1948 summer olympics works tytön pää n 1917 graniittipoika 1917–1920 maria jotuni 1918–1920 opettajani 1919 aaro hellaakosken pronssipää 1919 savonlinnan sankaripatsas heros grave 1919–1921 punagraniittinen neito 1923 mustagraniittinen neito 1924 paavo nurmi runner statue 1924–1925 seisova nainen 1920–1924 istuva nainen 1920–1925 uimaan lähtevä nainen 1924 turun lilja n 1924–1926 musica 1926 aleksis kivi statue tampere 1926–1927 statues hämeensilta bridge tampere eränkävijä hunter veronkantaja tax collector kauppias merchant ja suomen neito maiden finland 1927–1929 myrsky memorial statue 53 victims sunken finnish torpedo boat s2 reposaari pori 1930 statues plenary chamber parliament house 1930–1932 aleksis kivi memorial helsinki 1930–1939 marjatta 1934 delawaremuistomerkki 1937–1938 vapauden jumalatar seppelöi nuoruuden 1939–1940 memorial battle kämärä 19391949 tampereen osuustoimintamuistomerkki 1949–1950 ystävyys solmitaan joint monument cities turku gothenburg n 1948–1955 lahden sankaripatsas 1952 rautatienrakentajien muistomerkki 1957 hyvinkää genius ohjaa nuoruutta front university turku main library 1958–1960 statues presidents front parliament house k j ståhlberg 1957–1958 p e svinhufvud 1957–1959 genius montanus aaltonens grave turku 1960 johannes gutenberg 1962 büste references external links media related wäinö aaltonen wikimedia commons wäinö aaltonen museum art turku finnish art signature dictionary genuine signature artist wäinö aaltonen 11 examples wäinö aaltonens signature monogram six dated 1925 1940
Sculptors,Johannes Josephus Aarts,johannes josephus aarts 18 august 1871 hague – 19 october 1934 amsterdam dutch painter illustrator lithographer engraver etcher writer academic teacher director lecturer sculptor bookcover designer life work jan aarts received training royal academy art hague active 1911 amsterdam 1911 1934 initially around 1900 aarts worked engravings thereafter began also use graphic methods work one found depictions farmworkers dyke workers later also tramps beggars invalids 1920 1930 produced mostly visionary work apocalyptic scenes aarts often wrote hague newspaper het vaderland taught arts academy hague later professor royal academy amsterdam successor pieter dupont produced sculptures preliminary studies graphic work thereby contributed renewal various graphic techniques netherlands painted portraits animals landscapes including cityscapes dunelandscapes gallery references reading heij jan jaap aarts johannes josephus grove art online oxford art online accessed february 4 2012 subscription required external links media related johannes josephus aarts wikimedia commons entry johannes josephus aarts union list artist names
Sculptors,Magdalena Abakanowicz,magdalena abakanowicz polish pronunciation maɡdaˈlɛna abakaˈnɔvit͡ʂ 20 june 1930 – 20 april 2017 polish sculptor fiber artist known use textiles sculptural medium outdoor installations abakanowicz considered among influential polish artists postwar era worked professor studio art university fine arts poznań poland 1965 1990 visiting professor university california los angeles 1984 born noble landowning family falenty near warsaw outbreak world war ii formative years marred nazi occupation poland family became part polish resistance war imposed communist rule abakanowicz attended academy fine arts sopot academy fine arts warsaw 1950 1954 navigating conservative educational environment marked imposition sovietdictated restrictive propagandistic doctrine socialist realism polish october subsequent political cultural thaw 1956 marked significant turning point abakanowiczs career late 1950s early 1960s abakanowiczs work began take structure geometric form influenced part constructivism oneperson exhibit kordegarda gallery warsaw 1960 signaled emergence polish textile fiber design movement received first international recognition following participation first biennale internationale de le tapisserie lausanne switzerland 1962 abakanowiczs celebrated works emerged 1960s creation threedimensional fiber works called abakans 1970s 1980s transitioned creating humanoid sculptures works reflected anonymity confusion individual amidst human mass theme influenced life communist regime prominent international public artworks include agora chicago birds knowledge good evil milwaukee early life marta magdalena abakanowicz married name kosmowska born noble landowning family village falenty near warsaw mother helena domaszewska descended old polish nobility father konstanty abakanowicz came polonized lipka tatar family traced origins abaqa khan 13thcentury mongol chieftain fathers family fled russia newly reestablished democratic poland aftermath october revolution nine nazi germany invaded occupied poland family endured war years living outskirts warsaw became part polish resistance age 14 became nurses aid warsaw hospital seeing impact war first hand would later influence art war family moved small city tczew near gdańsk northern poland hoped start new life newlyimposed communist doctrine polish government officially adopted socialist realism acceptable art form pursued artists national form socialist content art forms practiced time western bloc modernism officially outlawed heavily censored communist bloc nations including poland lack official approval nothing reduce enthusiasm alter revolutionary course work education abakanowicz completed part high school education tczew 1945 1947 went gdynia two additional years art school liceum sztuk plastycznych city graduation liceum 1949 abakanowicz attended academy fine arts sopot gdańsk 1950 abakanowicz moved back warsaw begin studies academy fine arts leading art school poland get academy pretend daughter clerk noble background would otherwise prevented acceptance course years university 1950–1954 coincided harshest assaults made art leaders eastern bloc utilizing doctrine socialist realism art forms communist nations forced adhere strict guidelines limitations subordinated arts needs demands state realist artistic depictions based national 19thcentury academic tradition form artistic expression taught poland time warsaw academy fine arts important artistic institution poland came special scrutiny ministry art culture administered major decisions field time abakanowicz found climate academy highly rigid overly conservative recalled liked draw seeking form placing lines one next professor would come eraser hand rub every unnecessary line drawing leaving thin dry contour hated studying university required take several textile design classes learning art weaving screen printing fiber design instructors anna sledziewska eleonora plutyńska maria urbanowicz instructors skills would greatly influence abakanowiczs work well prominent polish artists time first artworks following education academy abakanowicz began produce first artistic works due fact spent academic life moving place place much earlier artwork lost damaged delicate plant drawings surviving 1956 1959 produced earliest known works series large gouaches watercolors paper sewntogether linen sheets works described biomorphic composition depicted imaginary plants birds exotic fish seashells among biomorphic shapes forms joanna inglot wrote figurative sculpture magdalena abakanowicz early works pointed abakanowiczs early fascination natural world processes germination growth blooming sprouting seem capture energy life quality would become constant feature art abakanowicz said gouaches large wall permitted depressed years study fighting back making gouaches long repeated could response big scale wanted take walk among imaginary plants also time polish peoples republic began lift heavy political pressures imposed soviet union mainly due death joseph stalin 1953 1956 new party leadership władysław gomułka poland experienced dramatic social cultural shift polish october shift resulted liberalization forms content art stalinistic methods art form openly criticized gomułkas government major freedom granted polish artists permission travel several western cities paris venice munich new york city experience artistic developments outside communist countries liberalization arts poland injection art forms polish art world greatly influenced abakanowiczs early works began consider much early work flamboyant lacking structure constructivism began influence work late 1950s adopted geometric structured approach never fully accepting constructivism searched artistic language way make art tactile intuitive personal result soon adopted weaving another avenue artistic exploration first oneperson exhibit kordegarda gallery warsaw spring 1960 included series four weavings along collection gouaches watercolors though first exhibit received minimal critical notice helped advance position within polish textile fiber design movement resulted inclusion first biennale internationale de le tapisserie lausanne switzerland 1962 event opened way international success next years challenged established idea weaving could fine art using metal supports pulling pieces away walls thus making woven increasingly sculptural work series abakans 1960s saw important works produced abakanowiczs career 1967 began producing threedimensional fiber works called abakans abakans included group exhibition titled wall hangings organised 1969 museum modern art new york mildred constantine curator architecture design textile designer jack lenor larsen abakanowicz artists included exhibition pushing boundaries high art traditional definitions considered craft use unexpected often soft materials arranged modular serial structures” abakan series places within postminimalism art movement began 1966 abakanowicz stated sought “total obliteration utilitarian function tapestry” demonstrated capacity fiber produce forms soft yet structured complex abakan made woven material using abakanowiczs technique material used many pieces found often collecting sisal ropes harbors intertwining threads dying also used rope hemp flax wool horsehair hung ceiling abakans reach sizes large thirteen feet sometimes inch clearance ground abakans often incorporated reproductive references eggs womb one large abakans included collection nasher sculpture center dallas texas piece hangs wall made five large recycled sisal panels varying thickness dyed burnt umber color work acquired 2019 exhibited exhibition titled resistrelease october 2023 abakanowiczs pioneering textile art served inspiration latest collection alexander mcqueen fashion house debuted paris fashion week designs created sarah burton met high acclaim presented alongside two abakans collection central textile museum łódź humanoid sculptures 1970s 1980s abakanowicz changed medium scale began series figurative nonfigurative sculptures made pieces coarse sackcloth sewed pieced together bonded synthetic resins works became representational previous sculptures still retain degree abstraction ambiguity 19741975 produced sculptures called alterations twelve hollowedout headless human figures sitting row 1973–1975 produced series enormous solid forms reminiscent human heads without faces called heads 19761980 produced piece call backs series eighty slightly differing sculptures human trunk 198687 created series fifty standing figures called crowd also began work around organic structures embryology series consisted several dozen soft egglike lumps varying size dispersed round exhibition room vienna biennial 1980 humanoid works 1970s 1980s centered around human culture nature whole condition position modern society multiplicity human forms represents confusion anonymity analyzing individuals presence mass humanity works close connections abakanowiczs life living communist regime repressed individual creativity intellect favor collective interest works also contrast earlier abakan series individually powerful pieces whereas figurative sculptures lost individuality favor multiplicity late 1980s 1990s abakanowicz began use metals bronze sculptures well wood stone clay works period include bronze crowd 1990–91 shown garden nasher sculpture center puellae 1992 part national gallery arts collection stated speech given academy fine arts łódź consequence expression art saturated history deformed modernity diverging direction art free world perhaps experience crowd waiting passively line ready trample destroy adore command like headless creature became core analysis maybe fascination scale human body desire determine minimal amount necessary express whole 2019 work featuring humanoid sculptures entitled caminando private collection robin williams set new record auction artwork sold poland fetching 8 million zlotys ca us21 million record broken twice 2021 october another works known crowd iii 1989 fetched 132 million zlotys ca 33 million december bambini 1999 set sculptures sold 136 million zloty war games one abakanowiczs unusual works titled war games cycle monumental structures made huge trunks old trees branches bark removed partly bandaged rags hugged steel hoops sculptures placed lattice metal stands like name cycle implies sculptures militaristic feel compared artillery vehicles 1990s abakanowicz also commissioned design model ecologicallyoriented city also choreographed dance agora abakanowiczs final round work includes project called agora permanent installation located southern end chicagos grant park next roosevelt road metra station consists 106 cast iron figures nine feet tall figures similar shape different details artist three assistants created models figure hand casting took place 2004 2006 surface figure resembles tree bark wrinkled skin work creates feeling crowdedness hence name agora furthermore bodies headless armless giving eerie anonymous look collections hirshhorn museum sculpture garden smithsonian institution museum modern art new york national gallery art washington dc awards grand prix são paulo biennale são paulo brazil 1965 herder prize vienna austria 1979 jurzykowski prize new york city 1982 award distinction sculpture granted sculpture center new york 1993 commander cross star order polonia restituta 1998 pour le mérite sciences arts berlin germany 1999 officier de lordre des arts et des lettres paris france 1999 leonardo da vinci world award arts norway 1999 knight order merit italian republic 2000 visionaries award granted american craft museum 2000 lifetime achievement contemporary sculpture award international sculpture center hamilton nj 2005 grand cross merit federal republic germany star 2010 20 june 2023 subject google doodle doctorates honors honoris causa doctorate royal college art london england 1974 honoris causa doctorate rhode island school design providence rhode island 1992 honorary member academy arts berlin 1994 honorary member american academy arts letters new york city 1996 honorary member sachsische akademie der kunste dresden germany 1998 honoris causa doctorate academy fine arts łódź poland 1998 honorary doctor fine arts degree pratt institute new york 2000 honoris causa doctorate massachusetts college art boston massachusetts 2001 honoris causa doctorate university fine arts poznań poland 2002 honoris causa doctorate school art institute chicago chicago illinois 2002 quotes feel overawed quantity counting longer makes sense unrepeatability within quantity creatures nature gathered herds droves species individual subservient mass retains distinguishing features crowd people birds insects leaves mysterious assemblage variants certain prototype riddle natures abhorrence exact repetition inability produce human hand cannot repeat gesture invoke disturbing law switching immobile herds rhythm art remain astonishing activity mankind born struggle wisdom madness dream reality mind see also abakanowicz list polish artists references notes bibliography reichardt jasia magdalena abakanowicz new york abbeville press 1982 188 pp 152 color bw illus isbn 0896593231 abakanowicz magdalena et al magdalena abakanowicz davidson college 2010 inglot joanna figurative sculpture magdalena abakanowicz bodies environments myths berkeley los angeles calif university california press 2004 isbn 9780520231252 miller nancy et al figuratively speaking drawings seven artists neuberger museum state university new york purchase 1989 magdalena abakanowicz libraries worldcat catalog external links official website magdalena abakanowicz culturepl women artists postwar abstraction see art movement moma curator starr figura youtube magdalena abakanowicz museum modern art magdalena abakanowicz collection israel museum retrieved september 2016 magdalena abakanowicz metropolitan museum art new york magdalena abakanowicz nelsonatkins museum art kansas city mo
Sculptors,Elfriede Abbe,elfriede martha abbe february 6 1919 – december 31 2012 american sculptor wood engraver botanical illustrator often displaying nature simple country living inspired upstate new york home selfpublisher abbe created numerous handprinted books printed printing press studio early life career elfriede abbe born washington dc 1919 statue hunter featured 1939 new york worlds fair new york graduated cornell university 1940 earning degree architecture attended syracuse university 1942 retirement 1974 illustrator cornell later life retiring cornell lived worked vermont lived manchester death 2012 retirement published art natural history continuing produce artwork throughout life notable awards barrettcolea prize national sculpture society elliot liskin award salmagundi club gold national arts club gold pen brush fellowship louis comfort tiffany foundation notable collections carnegie mellon university pittsburgh pennsylvania cornell university ithaca new york metropolitan museum art new york city national gallery art washington dc new york botanical garden bronx new york smith college northampton massachusetts yale university new connecticut published works abbe elfriede plants virgils georgics commentary woodcuts elfriede abbe ithaca cornell university press 1965 isbn 0801400015 abbe elfriede seven irish tales ithaca ny cornell university press 1957 abbe elfriede mushrooms wood engravings color elfriede abbe 1970 abbe elfriede prints made manchester vt south vermont art center press 1971 abbe elfriede introduction handmade paper manchester vt southern vermont art center press 1972 abbe elfriede fern herbal including ferns horsetails club mosses ithaca comstock 1981 references external links elfriede abbe papers 1948–1978 collection archives american art elfriede abbe papers 1840–1910 collection cornell university library
Sculptors,Louise Abbéma,louise abbéma 30 october 1853 – 29 july 1927 french painter sculptor designer belle époque biography abbéma born étampes essonne born wealthy parisian family well connected local artistic community greatgrandmother actress louise contat began painting early teens studied notables period charles joshua chaplin jeanjacques henner carolusduran first received recognition work age 23 painted portrait sarah bernhardt lifelong friend possibly lover went paint portraits contemporary notables also painted panels murals adorned paris town hall paris opera house numerous theatres including theatre sarah bernhardt palace colonial governor dakar senegal academic impressionistic style painting light rapid brushstrokes regular exhibitor paris salon received honorable mention panels 1881 abbéma also among female artists whose works exhibited womens building 1893 world columbian exposition chicago bust sarah bernhardt sculpted abbéma also exhibited exposition abbéma specialized oil portraits watercolors many works showed influence chinese japanese painters well contemporary masters édouard manet frequently depicted flowers works among bestknown works seasons april morning place de la concorde among flowers winter portraits actress jeanne samary emperor dom pedro ii brazil ferdinand de lesseps charles garnier abbéma also accomplished printmaker sculptor designer well writer made regular contributions journals gazette des beauxarts lart also illustrated several books including la mer rené maizeroy among many honors conferred upon abbéma palme academiques 1887 nomination official painter third republic also awarded bronze medal 1900 exposition universelle 1906 decorated chevalier order légion dhonneur never married longtime speculations lesbian however never openly stated actually opposed womens wearing masculine clothing even feminism suffragette movement abbéma died paris 1927 end 20th century contributions women arts past centuries received critical historical attention works enjoying renewed popularity abbéma included 2018 exhibit women paris 18501900 new woman educational opportunities made available 19th century women artists became part professional enterprises including founding art associations artwork made women considered inferior help overcome stereotype women became increasingly vocal confident promoting womens work thus became part emerging image educated modern freer new woman artists played crucial roles representing new woman drawing images icon exemplifying emerging type lives including abbéma created androgynous selfportraits link intellectual life emphasis ocularity many portraits included androgynously dressed women women participating intellectual pastimes traditionally associated men gallery references external links extensive website featuring many abbéma artworks writings french artcyclopedia listing short biography tallulahscom short biography nelepetscom louise abbema studio ca 1885
Sculptors,Abed Abdi,abed abdi arabic عبد عابدي hebrew עבד עאבדי born february 1942 haifa palestinian painter graphic designer sculptor art lecturer abdi worked blacksmith illustrated arabic publications appeared israel studying dresden abdi became first palestinian build monumental art native soil allegorical monuments galilee honoring human fortitude resistance include narrative mural depicting elijahs defiance survival bronze land day memorial abdi held first exhibition tel aviv 1962 pursued academic studies fine arts academy dresden germany professors lea grundig gerhard bondzin gerhard kettner masterwork academy received 2nd prize allowed abdi spend another year academy specialize murals environmental sculpture 1972 returned haifa worked graphic designer number arabic language publications taught arts designed murals city haifa awarded abdi hermann struck best artist year prize 1973 year also obtained young artists award berlin international youth festival city haifa awarded best artist year hermann struck award second time 1999 abed abdi erected number memorial monuments murals 1977—a sculpture commemorate land day 1976 1984—the memorial commemorate 75 years existence galilean municipality shefa amr addition painted number murals haifa jaffa nazareth abed abdi exhibited qatar israel belgium bulgaria participated 45 group exhibitions among joint palestinianisraeli exhibition possible toured us germany 1988 1990 1995 participated second exhibition palestinians israelis germany work appeared solidarity palestinian people exhibit tokyo berlin brussels belgrade athens also organized participated exhibitions israeli palestinian artists telaviv haifa west jerusalem period 1980 1987 defending freedom expression creativity abdi active member haifa branch israeli association painters sculptures well jewisharab center beit hagefen enabled unite palestinian israeli artists organize joint exhibitions bringing prospects peace closer abdi founded ibda society promotion visual arts arab israeli sector ara belle visual arts workshop haifa promotion visual arts intercultural dialogue arts abdi president al midan theater haifa teaching fine arts arab pedagogical college haifa since 1985 see also visual arts israel references reading kamal boullata encyclopedia palestinians philip mattar ed encyclopedia palestinians new york facts file inc 2000 samia halaby abed abdi liberation art palestine jadaliyya march 31 2013 external links wwwabedabdicom
Sculptors,Pablita Abeyta,pablita abeyta diné name tanezbah july 20 1953 – january 31 2017 native american navajo nation activist sculptor born gallup new mexico united states eldest daughter sylvia ann shipley abeyta artist narciso abeyta named grandmother name navajo name translates one completes circle family originally cañoncito small canyon spanish band navajo reservation new mexico located west albuquerque 2000 reservation decided change name tohajiilee drawing water natural well navajo abeyta earned masters public affairs university new mexico worked lobbyist navajo nation washington dc early life pablita abeyta born gallup new mexico july 20 1953 parents artists father narciso abeyta mother sylvia ann shipley abeyta abeyta one seven children child artistically skilled skills ranging weaving creating sculptures painting child given navajo middle name goal keeping children connected native american heritage abeytas navajo name tanezbah translates one completes circle career activism abeyta earned master public affairs university new mexico 1983 earning degree became lobbyist navajo nation washington dc office lobbyist navajo coordinated national effort secure passing amendments related native peoples safe drinking water act clean water act superfund act 1986 1988 abeyta legislative assistant ben nighthorse campbell democrat house representatives time left campbells office 1988 join bureau indian affairs 1991 became congressional liaison national museum american indian nmai nmai monitored planned museums funding participated obtaining funding smithsonian institution nmais organizational parent also worked developing proposals related cultural repatriation also served special assistant director museum office government affairs retiring 2011 served liaison fundraising museum also coordinated attendance tribal leaders opening ceremonies member native nations procession team nmai received numerous awards including employee year award named honor art artist abeyta created sculptures described smooth round sensuous around time moved washington dc wor congressman campbell sister gave kiln abeyta began experimenting clay sculpture senator campbell talked showing art gallery colorado work held numerous private public collections including john mccain daniel inouye national museum natural history abeytas first piece auctioned came death 2017 untitled two corn maidens auctioned cowans cincinnati 2020 sculptural figure woman created circa 1995 sold southwest association indian arts santa fe indian market donated nami 2008 references
Sculptors,Antonio Abondio,antonio abondio 1538–1591 italian sculptor best known medallist pioneer coloured wax relief portrait miniature born riva del garda trained leone leoni worked italy 1552 1565 thereafter mainly worked habsburgs works made french polish kings moved vienna court emperor maximilian death 1576 prague travelled france netherlands germany died vienna 1591 son alessandro followed fathers footsteps also specializing mythological portrait reliefs marrying widow another court artist hans von aachen work thirteen abondios wax portraits survive usually made round black slate base decorated tiny pearls precious stones made sixty portrait medals portrait obverse allegory reverse side silver enamelled framing also made dies first coinage emperor rudolf ii initially style metal followed leone leoni facade whose house milan casa degli omenoni carved eight large atlantes stone later included many influences sources george francis hill portrait medals italian artists renaissance london 1912 p 72 75 beket bukovinskáeliška fučíkováivan p muchka die kunst hofe rudols ii prag 1991 pp 151 155–156 163 external links media related antonio abondio wikimedia commons two medals metropolitan abondio medal nga washington european sculpture metalwork collection catalog metropolitan museum art libraries fully available online pdf contains material abondio see index
Sculptors,Per Abramsen,pieter per perry abramsen rotterdam 27 march 1941 – rotterdam 13 march 2018 dutch sculptor visiting professor delft university technology known work abstraction realism joined life work abramsen lived first years life rotterdamoverschie 1957 1961 studied rotterdam academy fine arts applied sciences graduated sculptor abramsen started abstract sculptor immediately graduation lived worked rotterdam france beginning career abramsen explored possibilities alternative materials working wax bronze clay stainless steel sand plaster perspex wood polyester rubber stone concrete polystyrene eps xps explored boundaries versatility materials learning many new techniques researching new spatial applications work exhibited many galleries museums home abroad became part many museum private corporate collections late seventies figurative forms entered abstraction later also incorporated socially engaged subject matter socalled table sculptures early nineties abramsen started experimenting light shadow photographs drawings sculptures built bronze foundry several years graduation aspiring keep whole process casting hands 1969 sculpture abramsen donated siemens municipal rotterdam 1971 abramsen rob maingay donated people rotterdam sculpture political statement artists live costs community sculpture called baken abramsen also refurbished least 15 houses apart 2 industrial premises ram gallery office floor bill alsop house casting collective designed construction containers built three steel shells sailing yachts designed built two houses adjacent studios france 1980 2001 founder chairperson artist initiatives like sark stek bronze casting collective called sculptuur besides chairman bbk rijnmond various committees guest teacher academies 1997 2003 appointed guest lecturer delft university technology 1965 second prize ems culture award hague work arabesk followed jacob hartog award 1989 work les voiles also hague 2020 per abramsen fund founded personal early sixties married fellow student berry koedam daughter ilze works selection baken 1971 groeninx van zoelenlaan rotterdam – rob maingay wandplastiek 1980 sports hall rotterdam cones 1984 baumannlaan en absweg rotterdamoverschie allongée 1986 binnenplaats gemeentehuis aan de herenstraat leidschendamvoorburg anamorfose 1996 bachlaan barendrecht light shadow 2011 merwehoofd papendrecht exhibitions abramsen represented ram gallery rotterdam work exhibited many museums home abroad eg travelling exhibition young dutch talent organized department culture selected exhibitions museum prinsenhof keukenhof van reekum museum stedelijk museum schiedam dordrechts museum gorcums museum museum zwolle museum gabrovo groningen hilversum maassluis assen knokkeheist b kruithuis den bosch museum uden museum elctra paris fr middelheim antwerp bmiddelheim open air sculpture museum beelden aan zee scheveningen beelden aan zee museum terra rosa salernes fr work also part many sculpture trails diepenheim delft groningen sliedrecht dordrecht paris amsterdam rotterdam solo exhibitions galleries france usa belgium netherlands germany work presented art fairs basel chicago new york philadelphia marseille amsterdam rotterdam salernes nice exhibitions selection 1966 per abramsen sculptures ton van os graphics dromedaris enkhuizen 1967 lentiade rotterdam ahoy rotterdam 1967 sculptures perry abramsen gallery de haas rotterdam 1968 gallery 845 amsterdam 1968 rob figee perry abramsen de doelen gallery rotterdam 1971 middelheim open air sculpture museum antwerp 1980 solo pulchri studio hague 1985 solo centrum beeldende kunst rotterdam 1987 solo verenigde spaarbank rotterdam 1989 solo pulchri studio hague 1991 de torso nederland dordrechts museum 1994 beelden van per abramsen stedelijk museum zwolle publications abramsen per per abramsen sculptures transl chantal stenfert cloun et al venlo van spijk 1985 references external links perabramsencom webarchiveorg
Sculptors,Julio Abril,julio vicente agapito abril mayorga 20 august 1911 – 24 april 1979 colombian sculptor painter draughtsman biography beginnings arts julio abril born moniquirá 20 august 1911 studied 1928 salesian school central technical institute bogotá 1929 student colombian cartoonist lisandro serranos mother moniquirá 1933 completed studies school founded prominent educator alfonso ramirez timely fashion stimulated budding artist abril 1934 1939 scholarship department boyacá studied sculpture direction artists gustavo arcila uribe josé domingo rodríguez carlos reyes school fine arts national university bogotá colombia 1936 held first exhibition presented wood sculpture cabeza de india head indian woman 1936 comprehensively commented leon angel el tiempo colombia received first prize exhibition barranquilla 1938 appreciation talent drawing led produce collaboration artists luis alberto acuña gonzalo ariza illustrations book la roma de los chibchas rome chibchas gabriel camargo pérez 1937 starting 1938 began publishing drawings sunday pages el tiempo continued death publish illustrations drawings newspapers magazines colombia 1939 national competition monument chibcha race boyacá monumento al indio monument indian project monument quemuenchatocha 1939 year organized participated exhibit artists boyacá iv centennial tunja exhibited 4 sculptures cabeza de india boyacense head boyacense indian woman 1936 maternidad maternity 1939 alfarera de ráquira potter woman ráquira 1938 project monument indian 1939 3 drawings bañista bather project monument races project monument quimbayas following events interview julio abril interpreter stone autochthonous motifs abril reveals concepts colombian artists published newspaper la razón magazine estampa article published intensely autochthonous works strong representatives colombianist art years mexico united states 1939 department boyacá awarded abril scholarship studies sculpture school fine arts italy mexico reasons generalized war europe moved mexico city continue art studies academy san carlos national academy fine arts school painting sculpture engraving la esmeralda specialized sculpture casting direction guillermo ruiz ortiz monasterio rómulo rozo despite absence colombia participated ii salon colombian artists obtained honorable mention indio sibundoy sibundoy indian 1941 one first works period mexico 1941 participated luis alberto acuna rómulo rozo leo matiz juan sanz santamaría exhibition paintings sculptures prints colombian artists living mexico palacio de bellas artes palace fine arts among sculptures prints exhibited familia de mineros family miners 1940 karl marx 1940 chilean poet pablo neruda spoke opening ceremony jose reyes wrote colombian artists mexico years mexico abril befriended colombian writer porfirio barbajacob final years poets life following barbajacobs death 14 january 1942 abril produced poets funeral mask later passed possession colombian painter dario jimenez villegas years later abril paid tribute friend barbajacob sculpture acuarimántima mexico married american sculptor viola louise horpel violeta three children andino ilych obsidiana jan eddy abril viola horpel held first joint exhibition art gallery benjamin franklin library exhibited 14 sculptures bronze stone wood notable among project monumento los comuneros 1942 julio abril project monument earth viola horpel mexican poet carlos pellicer delivered opening speech inaugural event luis alberto acuña wrote abrils artistic work abril published text sobre el arte de colombia mexican magazine noticia de colombia would first numerous articles plastic arts would publish mexican colombian newspapers magazines died villavicencio 24 april 1979 references
