perfect_overlap_CS,partial_overlap_CS,only_spacy_CS,only_stanza_CS,same_type_overlap_CS
68,1,61,55,32
13,3,54,4,9
25,0,37,4,23
34,1,32,2,24
27,0,32,5,25
13,4,19,4,11
50,4,24,11,34
20,0,14,3,19
23,1,7,2,20
58,3,46,11,54
35,0,52,5,30
53,2,46,8,49
21,1,16,1,20
13,0,37,0,10
11,2,17,2,11
41,0,46,8,39
24,0,26,3,22
14,0,8,2,14
15,0,15,3,14
73,3,146,21,70
3,1,11,3,3
246,5,230,46,211
59,13,43,14,57
36,4,52,21,25
47,2,31,5,41
13,0,14,0,12
7,0,0,0,7
92,4,53,14,84
51,2,133,21,45
76,8,104,22,72
22,2,9,4,18
53,3,58,11,49
5,0,4,1,5
68,2,43,20,63
23,3,31,8,16
32,2,33,6,28
84,8,86,16,70
36,2,40,7,34
22,0,19,4,21
362,34,290,82,314
8,1,9,1,6
18,1,24,11,17
30,1,57,7,29
3,0,0,0,2
8,0,5,2,7
18,1,18,2,18
40,0,24,8,37
11,0,16,2,10
39,2,41,9,39
15,2,18,2,12
1,0,8,1,1
4,0,10,1,4
21,3,25,5,18
123,12,165,37,99
8,0,12,2,8
42,5,36,6,36
43,1,37,4,38
2,0,9,0,2
373,6,291,88,331
21,1,50,2,17
15,1,10,0,13
16,1,20,8,12
12,2,14,3,12
32,1,58,8,26
17,0,14,2,15
27,0,23,6,25
68,1,81,15,60
11,0,6,1,9
192,15,134,74,167
22,1,23,3,19
29,2,37,14,23
19,1,23,0,16
12,0,17,2,11
24,1,11,8,18
10,7,13,6,9
15,0,5,2,14
3,0,5,1,1
22,2,14,5,19
28,0,16,4,24
21,2,36,5,19
7,0,8,1,6
70,3,57,14,69
51,0,53,12,46
85,3,97,24,83
26,3,43,5,23
35,2,39,5,33
14,2,17,7,6
93,4,102,24,79
28,3,19,6,27
23,0,18,5,20
53,1,86,15,47
23,0,20,4,23
28,1,22,4,27
12,0,9,5,6
