Subject,Predicate,Object
Jeff_Bonwick,wikiPageWikiLink,Program_optimization
Rod_Brooks,wikiPageWikiLink,Moore_machine
Leonard_Adleman,wikiPageWikiLink,Hulk_(film)
John_Armleder,wikiPageWikiLink,Kunstmuseum_Den_Haag
Tracy_Camp,wikiPageWikiLink,Eldon_C._Hall
Robert_S._Boyer,wikiPageWikiLink,Machine_Translation
Gregory_Chaitin,wikiPageWikiLink,Algorithm
Anita_Borg,wikiPageWikiLink,NASA
Alessandro_Algardi,wikiPageWikiLink,Febronia_of_Nisibis
Diana_al-Hadid,wikiPageWikiLink,Category:Neighborhoods_in_Brooklyn
Kurt_Bollacker,wikiPageWikiLink,Process_mining
Mary_Audsley,wikiPageWikiLink,Antiquarian
Lucien_den_Arend,wikiPageWikiLink,Prime_Minister_of_France
Benita_Armstrong,wikiPageWikiLink,Caroline_Peddle_Ball
Grady_Booch,wikiPageWikiLink,Andrew_Spence_(artist)
Alexander_Archipenko,wikiPageWikiLink,Bohdan_A._Futey
Robert_S._Boyer,wikiPageWikiLink,Informatics_Forum
Constantine_Andreou,wikiPageWikiLink,Bolshevik
Atta_ur_Rehman_Khan,wikiPageWikiLink,Hou_Kok_Chung
Lenore_Blum,wikiPageWikiLink,Category:Poststructuralists
Charles_Babbage,wikiPageWikiLink,"John_William_Strutt,_3rd_Baron_Rayleigh"
Bryan_Cantrill,wikiPageWikiLink,On_Lisp
Jane_Ackroyd,wikiPageWikiLink,Antony_Gormley
Karoo_Ashevak,wikiPageWikiLink,Lucy_Qinnuayuak
Wäinö_Aaltonen,wikiPageWikiLink,Axel_Salto
Peter_Chen,wikiPageWikiLink,Ontology_(information_science)
Jean_Arp,wikiPageWikiLink,Category:20th-century_Spanish_women_artists
Edward_Allington,wikiPageWikiLink,Barbara_Yung
Leonardo_Chiariglione,wikiPageWikiLink,Samir_Das
Evelin_Winifred_Aston,wikiPageWikiLink,Josette_Hébert-Coëffin
Pablita_Abeyta,wikiPageWikiLink,Beatrice_Angle
Aisa_Amittu,wikiPageWikiLink,David_Smith_(sculptor)
Jonathan_Bowen,wikiPageWikiLink,The_Turing_Guide
Charles_Bachman,wikiPageWikiLink,Robert_Tarjan
Karel_Appel,wikiPageWikiLink,Stefano_Arienti
Abed_Abdi,wikiPageWikiLink,Osama_Hajjaj
Robert_Cailliau,wikiPageWikiLink,Melinda_A._Zeder
Tim_Berners-Lee,wikiPageWikiLink,"Valencia,_Spain"
Antun_Augustinčić,wikiPageWikiLink,File:Necropolis_to_the_victims_of_Fascism_Novi_Travnik.jpg
Shakuntala_Atre,wikiPageWikiLink,David_Canfield_Smith
Rod_Brooks,wikiPageWikiLink,Bert_Bos
Ruth_Asawa,wikiPageWikiLink,Rolando_Castellón
Giovanni_Antonio_Amadeo,wikiPageWikiLink,Italy
Agostino_di_Duccio,wikiPageWikiLink,Savonarola
Mari_Andriessen,wikiPageWikiLink,Anderiesen
Sanjeev_Arora,wikiPageWikiLink,Economics
Sjaak_Brinkkemper,wikiPageWikiLink,Program_optimization
Peter_Chen,wikiPageWikiLink,Product_(business)
Benedetto_Antelami,wikiPageWikiLink,Modena
Stephen_Antonakos,wikiPageWikiLink,MOMus–Thessaloniki_Museum_of_Photography
Robert_Cailliau,wikiPageWikiLink,Carolyn_Parker
Alberto_Ciaramella,wikiPageWikiLink,Bauer–Fike_theorem
Scott_Aaronson,wikiPageWikiLink,Strongly_connected_component
Louise_Abbéma,wikiPageWikiLink,Crimean_War
Vint_Cerf,wikiPageWikiLink,Edwards_Lifesciences
Bert_Bos,wikiPageWikiLink,Rod_Canion
Leonardo_Chiariglione,wikiPageWikiLink,Bert_Sutherland
Jean_Bartik,wikiPageWikiLink,Category:Software_industry
Friedrich_L._Bauer,wikiPageWikiLink,Ubiquitous_computing
Tim_Berners-Lee,wikiPageWikiLink,Colombia
