perfect_overlap_SC,partial_overlap_SC,only_spacy_SC,only_stanza_SC,same_type_overlap_SC
20,0,61,10,17
5,0,9,2,4
97,0,127,18,88
17,1,25,5,14
16,3,26,0,11
26,0,44,4,26
22,0,31,4,19
14,0,23,5,12
15,4,61,3,15
46,5,40,7,41
12,0,11,3,12
5,0,3,5,3
16,0,33,8,13
16,8,73,2,12
10,1,4,2,7
29,0,40,2,26
32,1,35,9,28
46,3,52,12,38
6,2,18,3,6
17,0,13,2,9
8,1,12,2,5
0,0,6,1,0
21,0,45,5,18
8,0,15,0,8
5,0,11,0,5
33,4,43,7,29
31,3,34,9,27
4,0,6,2,3
14,0,18,0,12
148,8,501,19,140
26,0,26,0,24
82,2,239,20,50
35,0,49,10,30
5,0,124,4,5
10,2,12,3,7
19,1,40,5,18
8,0,16,2,8
29,3,38,8,24
12,0,54,4,11
14,1,17,0,12
20,1,34,13,12
23,0,47,3,17
8,0,7,3,8
23,2,39,7,19
6,1,19,4,5
16,0,24,1,16
21,1,32,5,18
2,0,3,1,2
42,0,50,8,32
14,0,39,2,14
23,2,34,5,17
9,1,15,2,6
36,1,61,13,30
15,2,17,2,12
2,1,9,0,1
6,0,8,2,4
6,0,16,3,4
6,0,12,2,6
8,0,15,1,6
5,0,6,1,3
6,0,2,5,5
11,0,25,3,7
17,1,21,8,15
26,4,76,5,22
49,3,37,5,48
43,6,109,8,36
144,11,105,42,97
28,1,59,2,24
5,0,3,1,4
7,2,28,4,6
20,1,20,0,17
54,0,93,32,48
27,0,30,6,26
1,0,24,0,1
2,0,3,3,0
13,0,25,3,13
22,1,21,5,17
31,1,29,4,27
9,0,12,2,8
24,0,35,13,20
76,4,104,14,70
2,0,32,1,2
132,4,186,29,124
35,1,36,3,31
58,2,70,8,53
14,0,7,5,13
84,0,75,16,83
28,0,28,15,25
19,2,21,4,16
46,2,77,10,34
7,1,10,2,6
24,2,15,2,19
7,0,9,1,7
24,0,26,1,22
54,2,34,12,45
